,Source,Machine Translation ouput,Machine Post Edit (APE),Human Post-Edit (HPE)
15,b'Mt.Gox Will Reportedly File For Liquidation Instead Of Bankruptcy\n',b'Mt.Gox se informa sobre archivos Para Liquidaci\xc3\xb3n Vez De Bancarrota\n',b'mt . gox parece los la informacion de liquidacion y la o entre los . para aun de bancarrota por los us desde de la computacion a los motivos presionando de la de bancarrota para la que entre algunas anuncios en los numeros de liquidacion y no tiene el cuarto',b'Mt.Gox Ser\xc3\xa1 Enviado a los archivos de Liquidaci\xc3\xb3n y no a los de Bancarrota .\n'
16,b'Cam Gigandet Has A Deliciously Evil D * ck In Bad Johnson !\n',b'Cam Gigandet Has A D Deliciosamente Evil * ck en Bad Johnson !\n',b'cam gigandet has estado with que deliciosamente evil ck en bad johnson !',b'Cam Gigandet Has A Deliciosamente Evil * ck en Bad Johnson !\n'
17,"b'So , one more sidetrack : If video is moved off of iTunes , the App Store is a marketplace for apps , and our books are bought in iBooks , could this mean that iTunes could return , gracefully , to serve its original purpose ?\n'","b'As\xc3\xad , uno sidetrack m\xc3\xa1s : Si el v\xc3\xaddeo se mueve fuera de iTunes , la App Store es un mercado para las aplicaciones , y nuestros libros son comprados en los iBooks , podr\xc3\xada esto significar que iTunes podr\xc3\xada volver , con gracia , para servir a su prop\xc3\xb3sito original ?\n'","b'entonces bien , una notablemente si el video mas si el video principal de ser integral tipico en ser echo obtener un desarrollo de ser , el cantante loca es una capacidad desde itunes , su app store es un mercado para las aplicaciones , y nuestros libros estan comprados'","b'Una distracci\xc3\xb3n mas : Si la capacidad de ver videos sera quitada de iTunes , la App Store es un mercado para las aplicaciones , y nuestros libros son comprados en los iBooks , podr\xc3\xada esto significar que iTunes podr\xc3\xada volver a servir su prop\xc3\xb3sito original ?\n'"
18,"b""The unfortunate truth , I think , is that I 'm more tired , more haggard , and more worn out , as well as lumpier , frumpier , wrinklier , and grayer .\n""","b'La triste verdad , creo , es que estoy m\xc3\xa1s cansado , m\xc3\xa1s demacrado , y m\xc3\xa1s agotada , as\xc3\xad como m\xc3\xa1s n\xc3\xb3dulos , frumpier , wrinklier y m\xc3\xa1s gris .\n'","b'este triste , creo , ella , es que estoy mas cansada , ademas , y era mi pomo de ansiedad , mas dejara , durante ello , donde mis colegas se sentia mas cansada , penso , por ella estoy mas cansada , antes , penso , me estoy'","b'Por desgracia , creo , estoy m\xc3\xa1s cansada , m\xc3\xa1s demacrada y m\xc3\xa1s agotada , y adem\xc3\xa1s me han salido bultos y arrugas y alg\xc3\xban cabello gris .\n'"
19,b'The one who moved on indecently quickly .\n',b'El que se movi\xc3\xb3 en indecentemente r\xc3\xa1pidamente .\n',b'el que estan divididos por la raza de ver rapidamente .',b'El que pas\xc3\xb3 p\xc3\xa1gina indecentemente r\xc3\xa1pido .\n'
20,"b""Conveying emotion without any dialogue and effectively showing a character 's journey is not easy , but all of the actors do a superb job !\n""","b'Transmitir emoci\xc3\xb3n sin ning\xc3\xban di\xc3\xa1logo y mostrar efectivamente el viaje de un personaje no es f\xc3\xa1cil , pero todos los actores hacen un trabajo excelente !\n'","b'transmitir emocion sin ningun dialogo y mostrar efectivamente el viaje de un sueno no es facil , pero todos los actores hacen un trabajo excelente !'","b'\xc2\xa1 Transmitir emoci\xc3\xb3n sin ning\xc3\xban di\xc3\xa1logo y mostrar efectivamente la aventura de un personaje no es f\xc3\xa1cil , pero todos los actores hacen un trabajo excelente !\n'"
21,b'But it gets better .\n',b'Pero se pone mejor .\n',b'pero se pone mas dificil .',b'Pero se pone mejor .\n'
22,b'My kids have no idea how easy they have it here .\n',b'Mis hijos no tienen ni idea de lo f\xc3\xa1cil que lo tienen aqu\xc3\xad .\n',b'mis hijos no tienen ni idea del mundo que lo tienen aqui .',b'Mis hijos no tienen ni idea de lo f\xc3\xa1cil que lo tienen aqu\xc3\xad .\n'
23,"b'Why are they even looking for other directors , though ?\n'","b'\xc2\xbf Por qu\xc3\xa9 est\xc3\xa1n a\xc3\xban buscando a otros directores , sin embargo ?\n'","b'\xc2\xbf por que estan aun buscando a otros directores , entonces ? \xc2\xbf a otros directores , entonces ? \xc2\xbf a otros directores , entonces ?'","b'\xc2\xbf Por qu\xc3\xa9 est\xc3\xa1n a\xc3\xban buscando a otros directores , entonces ?\n'"
24,"b""I don 't really profess to understand all the reasons and history behind mutualization and demutualization .\n""",b'Realmente no pretendo entender todas las razones y la historia detr\xc3\xa1s de mutualizaci\xc3\xb3n y la desmutualizaci\xc3\xb3n .\n',b'forma no pretendo entender todas las razones y la historia detras de la mutualizacion .',b'Realmente no pretendo entender todas las razones y la historia detr\xc3\xa1s de la mutualizaci\xc3\xb3n y la desmutualizaci\xc3\xb3n .\n'
25,b'Remember when cops caught Miguel with a blood alcohol level of .11 last August after pulling him over for tinted windows and then arrested him for suspicion of DUI ?\n',"b'Recuerde que cuando los polic\xc3\xadas capturados Miguel con un nivel de alcohol en sangre de 0,11 en agosto pasado despu\xc3\xa9s de tirar de \xc3\xa9l por las ventanas tintadas y luego lo detuvieron por sospecha de DUI ?\n'",b'\xc2\xbf recuerdas cuando los policias el momento esta estrellas de los policias se ha agotado little deliciosos sus letras de sus que otros citas prisa despues de sacarlo de la alta con los gastos de la retweets ha ido en agosto pasado despues de delicias internacionales y luego lo detuvieron',"b'\xc2\xbf Se acuerdan que los polic\xc3\xadas capturaron a Miguel con un nivel de alcohol en la sangre de 0,11 en agosto pasado despu\xc3\xa9s de sacarlo a \xc3\xa9l por las ventanas polarizadas y luego lo detuvieron por sospecha de conducir bajo la influencia de sustancias ?\n'"
26,"b""She ' d understand their reasons but not let them give excuses .\n""","b'Ella lo entender\xc3\xada sus razones , pero no dejes que les dan excusas .\n'","b'ella lo que sus razones , pero no les debes hacer excusas .'","b'Ella entender\xc3\xada sus razones , pero no les dejar\xc3\xada dar excusas .\n'"
27,b'STICK WITH YOUR CLAMSHELL !\n',b'Stick con los CLAMSHELL !\n',b'quedate de entre tu telefono !',b'\xc2\xa1 QU\xc3\x89DATE CON TU TEL\xc3\x89FONO DE TAPITA !\n'
28,b'And with those 12 words we were hooked !\n',b'Y con esas 12 palabras est\xc3\xa1bamos enganchado !\n',b'y con esas palabras estabamos sexy !',b'Y con esas 12 palabras ya est\xc3\xa1bamos enganchados !\n'
29,b'My husband tried so hard to make me feel better .\n',b'Mi esposo trat\xc3\xb3 muy duro para hacer que me sienta mejor .\n',b'mi esposo me puedes saber muy duro para hacer que me sintiera mejor .',b'Mi esposo se esforz\xc3\xb3 tanto en lograr que me sintiera mejor .\n'
30,"b""Having proven it 's equipped for the mobile era , and with the Wall Street monkey off its back , Facebook has finally been able to lift its sights to the horizon .\n""","b'Despu\xc3\xa9s de haber comprobado que est\xc3\xa1 equipado para la era m\xc3\xb3vil , y con el mono de Wall Street fuera de su espalda , Facebook finalmente ha sido capaz de levantar su mirada hacia el horizonte .\n'","b'despues de haber grabado que esta equipado para dispositivos chinos office el mono de reparto adam que habia sido capaz de su espalda , y a las llaves en el mono de kit street fuera de mano de su espalda , y con albergue , y con el entonces posthardware'","b'Habiendo comprobado que estaba equipado para la era m\xc3\xb3vil , y habi\xc3\xa9ndose quitado el mono de Wall Street de sus espaldas , Facebook finalmente ha sido capaz de levanta su mirada hacia el horizonte .\n'"
31,b'I tell it because Rob had the courage to allow me to tell it like it is .\n',b'Te digo porque Rob tuvo el coraje de permitir que le diga las cosas como son .\n',b'te molesta porque rob algo en el coraje de permitir que le encontraban seguras los sin tenido en .',b'Lo cuento porque Rob tuvo el coraje de permitir que dijera las cosas tal como son .\n'
32,b'Why was he shown the door ?\n',b'\xc2\xbf Por qu\xc3\xa9 se muestra la puerta ?\n',b'\xc2\xbf por que esta borracha de salirse ?',b'\xc2\xbf Por qu\xc3\xa9 le mostraron la puerta ?\n'
33,"b'The Twilight actress was clearly enjoying herself , so much so that [ ... ]\n'","b'La actriz de Crep\xc3\xbasculo fue claramente disfrutando de ella misma , hasta el punto de que [ ... ]\n'","b'la actriz de crepusculo fue claramente , hasta el punto de que . . .'","b'La actriz de Crep\xc3\xbasculo claramente se disfrutaba , hasta el punto de que [ ... ]\n'"
34,b'What else do you need to know ?\n',b'\xc2\xbf Qu\xc3\xa9 m\xc3\xa1s necesitas saber ?\n',b'\xc2\xbf que mas necesitas saber ?',b'\xc2\xbf Qu\xc3\xa9 m\xc3\xa1s necesitas saber ?\n'
35,"b'There can be continuity between them , and there must be . ""\n'","b'No puede haber continuidad entre ellos , y debe haber "" .\n'","b'no puede haber dormido entre ellos , y debe haber sonado en ello , y como haber .'","b'Puede haber continuidad entre ellos , y debe haber "" .\n'"
36,"b'There were black , white , and red genital candles for all different purposes .\n'","b'Hab\xc3\xada velas genitales negro , blanco , y rojo para todos los prop\xc3\xb3sitos diferentes .\n'","b'habia velas negras , blancas , y rojo cada propositos .'","b'Hab\xc3\xada velas negras , blancas y rojas en forma de genitales para diferentes prop\xc3\xb3sitos .\n'"
37,"b'"" It was not structured in a way that would get enough participation among the healthy to support the populations that would be served , "" says Judy Feder , a public-policy professor at Georgetown University who researches long-term care .\n'","b'"" No se estructur\xc3\xb3 de manera que obtener suficiente participaci\xc3\xb3n entre los sanos para apoyar a las poblaciones que ser\xc3\xa1n atendidos "" , dice Judy Feder , profesor de pol\xc3\xadticas p\xc3\xbablicas en la Universidad de Georgetown que investiga la atenci\xc3\xb3n a largo plazo .\n'","b'no se mudan de manera que coger suficiente participacion entre los perfeccionado para apoyar a las poblaciones sanas para apoyar a las favoritas transmitido de las poblaciones para seguir sentir con atencion despues de unoauno , reconoce que atrajeron alla de oportunidades simplificada entre los desarrolladores podran conseguir dos listas'","b'"" No se estructur\xc3\xb3 de manera que obtuviese suficiente participaci\xc3\xb3n de las personas sanas para apoyar a la poblaci\xc3\xb3n que ser\xc3\xada atendida "" , dice Judy Feder , profesora de pol\xc3\xadticas p\xc3\xbablicas en la Universidad de Georgetown , que investiga los cuidados a largo plazo .\n'"
38,b'Phillip Phillips Makes Our Heart Race With His Hot New Jam Raging Fire !\n',b'Phillip Phillips hace que nuestra raza Coraz\xc3\xb3n Con Su Nuevo Hot Jam Fuego Deslumbrante !\n',b'phillip phillips hace que nuestra raza del corte dentro y su nuevo hot la vision del soldado de sexo n risas ha pasado la selfie se sido camino con su nuevo hot night seksi con su nuevo hot serio cancion con su nuevo hot multimillonario fuego y su nuevo hot',b'Phillip Phillips hace que nuestra raza de coraz\xc3\xb3n Con Su Nuevo Hot Jam Fuego Deslumbrante !\n'
39,"b""It 's actually the latest version of a company that began as Honestly , a site where professionals could anonymously review their peers .\n""","b'En realidad es la versi\xc3\xb3n m\xc3\xa1s reciente de una empresa que comenz\xc3\xb3 como Honestamente , un sitio donde los profesionales pueden revisar de forma an\xc3\xb3nima sus compa\xc3\xb1eros .\n'","b'en realidad es la version mas mas reciente de una empresa que comenzo como tomara , un sitio donde los profesionales pueden calificar a la forma inteligentes , un sitio donde los profesionales podian calificar en forma anonima sus companeros entre sus companeros .'","b'En realidad es la versi\xc3\xb3n m\xc3\xa1s reciente de una empresa que comenz\xc3\xb3 como Honestly , un sitio donde los profesionales pueden calificar de forma an\xc3\xb3nima a sus compa\xc3\xb1eros .\n'"
40,b'@ hammy505 Jesus was talking about judging with hypocrisy .\n',b'@ Hammy505 Jes\xc3\xbas estaba hablando de juzgar con hipocres\xc3\xada .\n',b'escribiendo jesus estaba hablando de juzgar con hipocresia .',b'@ hammy505 Jes\xc3\xbas estaba hablando de juzgar con hipocres\xc3\xada .\n'
41,"b""As far as we 're concerned , fashion is ironing our T-shirts .\n""","b'En lo que a nosotros respecta , la moda est\xc3\xa1 planchando nuestras camisetas .\n'","b'en lo que a nosotros respecta , la moda el bultos a nuestras camisetas .'","b'Por lo que a nosotros respecta , la moda s\xc3\xb3lo es planchar nuestras camisetas .\n'"
42,"b""It 's essentially a flying camera that can even pipe imagery directly into an Oculus Rift headset , taking flying in the clouds to a whole new level .\n""","b'B\xc3\xa1sicamente se trata de una c\xc3\xa1mara voladora que puede incluso tubo de im\xc3\xa1genes directamente en un auricular Oculus Rift , teniendo volando en las nubes a un nivel completamente nuevo .\n'","b'basicamente se trata de una camara aerea que pueden incluso jugar agarrar dos vuelos directamente en una esperanza belga basica , llevando las imagenes directamente en un relato esperada necesidad del vision de obtener dobles a un auricular oculus rift , las imagenes directamente en tener su pedo por la'","b'B\xc3\xa1sicamente se trata de una c\xc3\xa1mara a\xc3\xa9rea que puede incluso enviar im\xc3\xa1genes directamente a un auricular Oculus Rift , llevando los vuelos entre nubes al siguiente nivel .\n'"
43,"b'@ CFLancop And , the scary thing is so many people retweeted her .\n'","b'@ CFLancop Y , lo que da miedo es que muchas personas le retweeted .\n'","b'cflancop y lo que da miedo es que muchas personas le les esta , puedes cosa en cuando yo estan posicionando el asunto , esta emocionado es que muchas personas le detuvo .'",b'@ CFLancop Y lo que da miedo es que muchas personas le devolvieron el tweet .\n'
44,"b'We knew Stevie Nicks was making a comeback , but how did she bring all of 1981 with her ?\n'","b'Sab\xc3\xadamos Stevie Nicks estaba haciendo una reaparici\xc3\xb3n , pero \xc2\xbf c\xc3\xb3mo le traiga todos 1981 con ella ?\n'","b'sabiamos que kaley rivers estaba haciendo una reaparicion , pero \xc2\xbf como le traiga todos taylor ella ?'","b'Sab\xc3\xadamos que Stevie Nicks estaba haciendo una reaparici\xc3\xb3n , pero \xc2\xbf c\xc3\xb3mo le traiga todos 1981 con ella ?\n'"
45,"b""On JT 's episode of , the SexyBack singer admitted his decision to leave the boy band that shot him to fame was one of the hardest decisions of his life .\n""",b'En el episodio de JT de la cantante SexyBack admiti\xc3\xb3 que su decisi\xc3\xb3n de dejar la banda de chicos que le lanz\xc3\xb3 a la fama fue una de las decisiones m\xc3\xa1s dif\xc3\xadciles de su vida .\n',"b'en el episodio ruben cards , el evidente asombro de la cantante de romper la canal de escenas de chicos contra uno de la actriz de chicos que quieren hizo la cancion de chicos fallen , se lanzo a la de las decisiones mas mas dificiles de su vida .'",b'En el episodio de JT el cantante de SexyBack admiti\xc3\xb3 que su decisi\xc3\xb3n de dejar la banda de chicos que le lanz\xc3\xb3 a la fama fue una de las decisiones m\xc3\xa1s dif\xc3\xadciles de su vida .\n'
46,b'My wife and daughter urged me to finish it .\n',b'Mi esposa y mi hija me instaron para terminarlo .\n',b'un esposa y mi hija de todos nosotros es sexo para leer .',b'Mi esposa y mi hija me instaron para que lo terminara de leer .\n'
47,"b'"" I have enjoyed seven seasons co-hosting DWTS but understand the need for change considering the position of the show at this juncture .\n'","b'"" He disfrutado de siete temporadas co-anfitri\xc3\xb3n de la ETAP , sino comprender la necesidad de un cambio teniendo en cuenta la posici\xc3\xb3n de la muestra en esta coyuntura .\n'","b'he disfrutado de siete temporadas para rumores , sino por la aventura de un cambio teniendo en cuenta la posicion de la repeticion gente fue descrito en cuenta the posicion por esta viejo .'","b'"" He disfrutado de siete temporadas como co-anfitriona de la Dancing With The Stars , pero comprendo la necesidad de un cambio teniendo en cuenta la posici\xc3\xb3n del programa en esta coyuntura .\n'"
48,b'Apple CEO Tim Cook .\n',"b'CEO de Apple , Tim Cook .\n'","b'el gerente de apple , tim cook .'","b'El CEO de Apple , Tim Cook .\n'"
49,"b'There \'s still that shift of people in emerging markets , although that will be a lower price point , so there \'s a unit uptick but impact on revenues . "" Why are PCs declining less than they were ?\n'","b'Todav\xc3\xada hay ese cambio de las personas en los mercados emergentes , a pesar de que ser\xc3\xa1 un precio m\xc3\xa1s bajo , as\xc3\xad que hay un repunte de unidad , pero el impacto sobre los ingresos .\n'","b'todavia hay ese cambio de las personas en los mercados emergentes , a pesar de ser con sugerencias emergentes , a pesar de que sera un precio mas bajo , asi que hay un repunte mas bajo , asi que hay un repunte mas bajo , asi que hay una'","b'Todav\xc3\xada hay ese cambio de las personas en los mercados emergentes , a pesar de que ser\xc3\xa1 un precio m\xc3\xa1s bajo , as\xc3\xad que hay un repunte de unidad , pero con impacto en los ingresos .\n'"
50,b'Contestant Whose Laugh Most Resembles An IRL Gchat Laugh\n',b'Competidor cuyo Laugh asemeje m\xc3\xa1s a un IRL Gchat Laugh\n',b'el competidor de los rumores se estan una',b'El Competidor con la risa que asemeje m\xc3\xa1s a una IRL Gchat risa\n'
51,b'YOU WILL NEVER SLEEP AGAIN .\n',b'USTED NUNCA dormir de nuevo .\n',b'tu nunca te quedo de dormir .',b'USTED NUNCA VA A DORMIR DE NUEVO .\n'
52,"b'To all our service men and women that paid the ultimate sacrifice for our freedom and to their families ... Happy Memorial Day \xe2\x80\x94 bella thorne ( @ bellathorne ) May 26 , 2014 Happy Memorial Day Shout out to the troops , who sacrifice so much so we can sleep safely in our beds at night .\n'","b'A todos nuestros hombres y mujeres que pagaron el \xc3\xbaltimo sacrificio por nuestra libertad de servicios y para sus familias ... \xc2\xa1 Feliz D\xc3\xada de los Ca\xc3\xaddos - Bella Thorne ( @ bellathorne ) 26 de mayo 2014 Happy Memorial Day preguntad por las tropas , que se sacrifican tanto para que podamos dormir de forma segura en la cama por la noche .\n'",b'a todos nuestros hombres moviles y mujeres que pagaron el sacrificio maximo por nuestra libertad de servicios y para sus familias . . ante el sacrificio de servicios y animar mediante el sacrificio estado es una disponibilidad que pagaron el sacrificio maximo por nuestra libertad de servicios y para sus',"b'A todos nuestros hombres y mujeres de las fuerzas armadas quien pagaron el sacrificio m\xc3\xa1ximo por nuestra libertad y a sus familias ... Feliz D\xc3\xada de Los Ca\xc3\xaddos - Bella Thorn ( @ bellathorne ) mayo 26 , 2014 Feliz D\xc3\xada de los Ca\xc3\xaddos Mando un saludo a las tropas , quien sacrifica tanto para que podemos dormir seguros en nuestras camas por la noche\n'"
53,"b""My child couldn' t have played either piece better , and the best part is that she knew it .\n""","b'Mi hijo no podr\xc3\xada haber jugado ya sea pieza mejor , y la mejor parte es que ella lo sab\xc3\xada .\n'","b'mi hijo no podria haber tocado todo los emocionado en el visionario mejor , y la mejor parte es que ella lo supiera .'","b'Mi hijo no podr\xc3\xada haber tocado cualquiera pieza mejor , y la mejor parte es que ella lo sab\xc3\xada .\n'"
54,b'Can this just become a weekly segment ?\n',b'\xc2\xbf Puede esto acaba de convertirse en un segmento semanal ?\n',b'\xc2\xbf puede cuenta sexuales recuerda en los mormones kardashian ?',b'\xc2\xbf Puede que esto se acaba de convertir en un segmento semanal ?\n'
55,"b""While a flood of new VCs came into existence during the late 90 's internet boom , many had difficulty raising new funds after the crashes of 2000-2001 and 2008 , and as a result significantly fewer fund managers exist now compared to a decade ago .\n""","b'Mientras que una avalancha de nuevos capitalistas de riesgo lleg\xc3\xb3 a existir durante el boom de finales de los a\xc3\xb1os 90 del Internet , muchos de ellos ten\xc3\xadan dificultades para recaudar nuevos fondos despu\xc3\xa9s de la ca\xc3\xadda de 2000 a 2001 y 2008 , y como resultado , existen muchos menos los gestores de fondos ahora en comparaci\xc3\xb3n con hace una d\xc3\xa9cada .\n'","b'mientras que una avalancha de nuevos capitalistas de enorme llego a existir durante el procesador de finales de los anos del internet , muchos de ellos tuvieron dificultades para realizar diez fondos despues de parte de los anos del internet , muchos de ellos tenian dificultades para recaudar nuevos fondos'","b'Mientras que una avalancha de nuevos capitalistas de riesgo lleg\xc3\xb3 a existir durante el boom del Internet de finales de los 90 , muchos de ellos tuvieron dificultades para recaudar nuevos fondos despu\xc3\xa9s de la ca\xc3\xadda de 2000 a 2001 y 2008 , y como resultado , existen muchos menos gestores de fondos ahora en comparaci\xc3\xb3n con hace una d\xc3\xa9cada .\n'"
56,"b'My father was a divorced bachelor , and I was an only child .\n'","b'Mi padre era un soltero divorciado , y yo era hijo \xc3\xbanico .\n'","b'mi padre era un sexo a la risa anglosajon la risa ha detuvo la unica computadora fue el asunto , y yo era pensamiento unico .'",b'Mi padre era un divorciado soltero y era lo \xc3\xbanico hijo .\n'
