,Source,Machine Translation ouput,Machine Post Edit (APE),Human Post-Edit (HPE)
12,"b'In a recent interview , Chris said he spent months training in his Captain America costume while choreographing scenes with his co-stars Scarlett Johansson and Sebastian Stan .\n'","en una reciente entrevista  ,  chris dijo que paso meses entrenando en su traje de capitan america  ,  mientras que la coreografia de las escenas con sus companeros de reparto scarlett johansson y sebastian stan  .","b'en una reciente entrevista y chris dijo que ha son imagenes entrenando muy publicos fotos en su traje de capitan america , mientras que la coreografia de las escenas de los creditos de las escenas de las escenas de los homosexuales , mientras que la coreografia de las escenas de'","en una reciente entrevista  ,  chris dijo que paso meses entrenando en su traje de capitan america  ,  mientras que ensayaba escenas con sus companeros de reparto scarlett johansson y sebastian stan  ."
13,"b'An anthropologist says that participants "" remain subordinate to a focus on the epic win \xe2\x80\x94 and , especially , the lulz . ""\n'","un antropologo dice que los participantes  se subordinen a un enfoque en la epica victoriay  ,  sobre todo  ,  el lulz   .",b'una mediana compartieron dice que los participantes se quedan a un enfoque en la batalla .',"un antropologo dice que los participantes  se quedan subordinados a un enfoque en la epica victoriay  ,  sobre todo  ,  el lulz   ."
14,b'We agree with you .\n',estamos de acuerdo con usted  .,b'estamos de michele con usted',estamos de acuerdo con usted  .
15,b'Mt.Gox Will Reportedly File For Liquidation Instead Of Bankruptcy\n',mt . gox se informa sobre archivos para liquidacion vez de bancarrota,b'mt . gox sobre correo sobre los grandes pobres tras tras facebook .',mt . gox sera enviado a los archivos de liquidacion y no a los de bancarrota  .
16,b'Cam Gigandet Has A Deliciously Evil D * ck In Bad Johnson !\n',cam gigandet has a d deliciosamente evil  ck en bad johnson  !,b'recibo ella directamente alertas con chicas anticipada divertida en bad johnson !',cam gigandet has a deliciosamente evil  ck en bad johnson  !
17,"b'So , one more sidetrack : If video is moved off of iTunes , the App Store is a marketplace for apps , and our books are bought in iBooks , could this mean that iTunes could return , gracefully , to serve its original purpose ?\n'","asi  ,  uno sidetrack mas  si el video se mueve fuera de itunes  ,  la app store es un mercado para las aplicaciones  ,  y nuestros libros son comprados en los ibooks  ,  podria esto significar que itunes podria volver  ,  con gracia  ,  para servir a su proposito original  ?","b'siempre , uno cualquier cantante de incluso una cantante fue un video fue se decide sophie fuera de ser integral , la app store es un mercado para las aplicaciones , porque necesitan podria tomarse , con vestir de un porcentaje para las aplicaciones , y la aplicaciones , y'","una distraccion mas  si la capacidad de ver videos sera quitada de itunes  ,  la app store es un mercado para las aplicaciones  ,  y nuestros libros son comprados en los ibooks  ,  podria esto significar que itunes podria volver a servir su proposito original  ?"
18,"b""The unfortunate truth , I think , is that I 'm more tired , more haggard , and more worn out , as well as lumpier , frumpier , wrinklier , and grayer .\n""","la triste verdad  ,  creo  ,  es que estoy mas cansado  ,  mas demacrado  ,  y mas agotada  ,  asi como mas nodulos  ,  frumpier  ,  wrinklier y mas gris  .","b'a a verdad , creo , es que soy mas cansada , me sentia mas cansada , mas temprano , mas de , simplemente me trate de , me estaba , ya , ella simplemente simplemente simplemente yo estoy hacia , yo yo simplemente simplemente simplemente no lo hace su'","por desgracia  ,  creo  ,  estoy mas cansada  ,  mas demacrada y mas agotada  ,  y ademas me han salido bultos y arrugas y algun cabello gris  ."
19,b'The one who moved on indecently quickly .\n',el que se movio en indecentemente rapidamente  .,b'el que se encuentran meses .',el que paso pagina indecentemente rapido  .
20,"b""Conveying emotion without any dialogue and effectively showing a character 's journey is not easy , but all of the actors do a superb job !\n""","transmitir emocion sin ningun dialogo y mostrar efectivamente el viaje de un personaje no es facil  ,  pero todos los actores hacen un trabajo excelente  !","b'transmitir emocion dijo fuera a ser dialogo me esta dialogo y nochebuena tontamente a la aventura con tipo del personaje de un personaje no es facil , pero todos los actores harto .'","transmitir emocion sin ningun dialogo y mostrar efectivamente la aventura de un personaje no es facil  ,  pero todos los actores hacen un trabajo excelente  !"
21,b'But it gets better .\n',pero se pone mejor  .,b'pero esta asientos .',pero se pone mejor  .
22,b'My kids have no idea how easy they have it here .\n',mis hijos no tienen ni idea de lo facil que lo tienen aqui  .,b'mis hijos no yo tengo ni idea de lo personalmente que lo siempre .',mis hijos no tienen ni idea de lo facil que lo tienen aqui  .
23,"b'Why are they even looking for other directors , though ?\n'","¿  por que estan aun buscando a otros directores  ,  sin embargo  ?","b'\xc2\xbf por que dijeron , a otros directores , sin embargo , sin embargo , si con exactamente citas , entonces ella era , entonces , entonces la embargo , exactamente , enfrentarse a otros con el , sin embargo , sin embargo , el .'","¿  por que estan aun buscando a otros directores  ,  entonces  ?"
24,"b""I don 't really profess to understand all the reasons and history behind mutualization and demutualization .\n""",realmente no pretendo entender todas las razones y la historia detras de mutualizacion y la desmutualizacion  .,b'realmente no pretendo entender personas en las razones y la historia detras de la mutualizacion y la twitter .',realmente no pretendo entender todas las razones y la historia detras de la mutualizacion y la desmutualizacion  .
25,b'Remember when cops caught Miguel with a blood alcohol level of .11 last August after pulling him over for tinted windows and then arrested him for suspicion of DUI ?\n',"recuerde que cuando los policias capturados miguel con un nivel de alcohol en sangre de  ,  en agosto pasado despues de tirar de el por las ventanas tintadas y luego lo detuvieron por sospecha de dui  ?","b'\xc2\xbf eso los policias de miguel con su nivel de little alto ciertas lawrence con un nivel de alcohol a londres , en un nivel de s en la sangre de alcohol con un nivel de alcohol a londres la sangre de la sangre de y en marte a su'","¿  se acuerdan que los policias capturaron a miguel con un nivel de alcohol en la sangre de  ,  en agosto pasado despues de sacarlo a el por las ventanas polarizadas y luego lo detuvieron por sospecha de conducir bajo la influencia de sustancias  ?"
26,"b""She ' d understand their reasons but not let them give excuses .\n""","ella lo entenderia sus razones  ,  pero no dejes que les dan excusas  .","b'ella natural su alimento , pero no le debes elegir excusas .'","ella entenderia sus razones  ,  pero no les dejaria dar excusas  ."
27,b'STICK WITH YOUR CLAMSHELL !\n',stick con los clamshell  !,b'quedate con los despedida de twitter con los tios con twitter .',qudate con tu telfono de tapita  !
28,b'And with those 12 words we were hooked !\n',y con esas  palabras estabamos enganchado  !,b'y luego esas palabras muy especial !',y con esas  palabras ya estabamos enganchados  !
29,b'My husband tried so hard to make me feel better .\n',mi esposo trato muy duro para hacer que me sienta mejor  .,b'mi esposo en muy duro para hacer que simplemente sus cuenta .',mi esposo se esforzo tanto en lograr que me sintiera mejor  .
30,"b""Having proven it 's equipped for the mobile era , and with the Wall Street monkey off its back , Facebook has finally been able to lift its sights to the horizon .\n""","despues de haber comprobado que esta equipado para la era movil  ,  y con el mono de wall street fuera de su espalda  ,  facebook finalmente ha sido capaz de levantar su mirada hacia el horizonte  .","b'despues de haber terminado que esta equipado para la era movil , y con el comercial de man judia por el fuerte de su colina , y luego estuvo s de su caso de su espalda , y a la clic o , y con la el aumento , y'","habiendo comprobado que estaba equipado para la era movil  ,  y habiendose quitado el mono de wall street de sus espaldas  ,  facebook finalmente ha sido capaz de levanta su mirada hacia el horizonte  ."
31,b'I tell it because Rob had the courage to allow me to tell it like it is .\n',te digo porque rob tuvo el coraje de permitir que le diga las cosas como son  .,b'les estoy porque rob es el coraje de permitir en fuera las cosas como hace .',lo cuento porque rob tuvo el coraje de permitir que dijera las cosas tal como son  .
32,b'Why was he shown the door ?\n',¿  por que se muestra la puerta  ?,b'\xc2\xbf por que esta familiarizados la puerta ?',¿  por que le mostraron la puerta  ?
33,"b'The Twilight actress was clearly enjoying herself , so much so that [ ... ]\n'","la actriz de crepusculo fue claramente disfrutando de ella misma  ,  hasta el punto de que   .  .  .","b'la actriz de crepusculo claramente observa por ella envio quienes lo natural lo es de ella lo natural , hasta el punto de que . .'","la actriz de crepusculo claramente se disfrutaba  ,  hasta el punto de que   .  .  ."
34,b'What else do you need to know ?\n',¿  que mas necesitas saber  ?,b'\xc2\xbf que mas necesitas a ti ?',¿  que mas necesitas saber  ?
35,"b'There can be continuity between them , and there must be . ""\n'","no puede haber continuidad entre ellos  ,  y debe haber   .","b'no tienen ese era entre ellos , y nos dado'","puede haber continuidad entre ellos  ,  y debe haber   ."
36,"b'There were black , white , and red genital candles for all different purposes .\n'","habia velas genitales negro  ,  blanco  ,  y rojo para todos los propositos diferentes  .","b'habia velas negras , blanco , y repentina de genitales a menudo .'","habia velas negras  ,  blancas y rojas en forma de genitales para diferentes propositos  ."
37,"b'"" It was not structured in a way that would get enough participation among the healthy to support the populations that would be served , "" says Judy Feder , a public-policy professor at Georgetown University who researches long-term care .\n'","no se estructuro de manera que obtener suficiente participacion entre los sanos para apoyar a las poblaciones que seran atendidos   ,  dice judy feder  ,  profesor de politicas publicas en la universidad de georgetown que investiga la atencion a largo plazo  .","b'no se sentia de manera que tengan suficiente entre los personas sanas para apoyar a las sorpresa a que simplemente siga , dice judy feder , implica religiosas de politicas publicas en la universidad de unos oportunidades para funcionar con fuera de mujeres publicas en la universidad de envio basicos'","no se estructuro de manera que obtuviese suficiente participacion de las personas sanas para apoyar a la poblacion que seria atendida   ,  dice judy feder  ,  profesora de politicas publicas en la universidad de georgetown  ,  que investiga los cuidados a largo plazo  ."
38,b'Phillip Phillips Makes Our Heart Race With His Hot New Jam Raging Fire !\n',phillip phillips hace que nuestra raza corazon con su nuevo hot jam fuego deslumbrante  !,b'phillip phillips hace una raza de pollo con su nuevo infame twitter con su nueva infame pollo a su video a corazon con su nuevo episodio de corazon con su nuevo hot equipo con twitter con su nuevo hot video con su nueva rojo marido por su nuevo multimillonario restless',phillip phillips hace que nuestra raza de corazon con su nuevo hot jam fuego deslumbrante  !
39,"b""It 's actually the latest version of a company that began as Honestly , a site where professionals could anonymously review their peers .\n""","en realidad es la version mas reciente de una empresa que comenzo como honestamente  ,  un sitio donde los profesionales pueden revisar de forma anonima sus companeros  .","b'en realidad es la version mas reciente que una empresa que comenzo que las ultimas iniciativas , un sitio donde los profesionales pueden vh de forma anonima de forma anonima sus companeros .'","en realidad es la version mas reciente de una empresa que comenzo como honestly  ,  un sitio donde los profesionales pueden calificar de forma anonima a sus companeros  ."
40,b'@ hammy505 Jesus was talking about judging with hypocrisy .\n',hammy jesus estaba hablando de juzgar con hipocresia  .,b'a jesus natural natural natural de pasearse a desea con jenna .',hammy jesus estaba hablando de juzgar con hipocresia  .
41,"b""As far as we 're concerned , fashion is ironing our T-shirts .\n""","en lo que a nosotros respecta  ,  la moda esta planchando nuestras camisetas  .","b'por lo que a nosotros respecta , la pareja es algo es , la fiesta esta tan lento nuestras camisetas .'","por lo que a nosotros respecta  ,  la moda solo es planchar nuestras camisetas  ."
42,"b""It 's essentially a flying camera that can even pipe imagery directly into an Oculus Rift headset , taking flying in the clouds to a whole new level .\n""","basicamente se trata de una camara voladora que puede incluso tubo de imagenes directamente en un auricular oculus rift  ,  teniendo volando en las nubes a un nivel completamente nuevo  .","b'basicamente son posible la camara aerea que puede incluso permitiendo a inducir gramofon con su ser francisco , llevando los mayores juntas las estrellas a un auricular oculus pobladas , llevando los estrellas directamente a una gran vision cuyos imagenes directamente en tecnologia directamente en una parte exacto de fuertes'","basicamente se trata de una camara aerea que puede incluso enviar imagenes directamente a un auricular oculus rift  ,  llevando los vuelos entre nubes al siguiente nivel  ."
43,"b'@ CFLancop And , the scary thing is so many people retweeted her .\n'","cflancop y  ,  lo que da miedo es que muchas personas le retweeted  .",b'cflancop y manera natural esta chico natural el quienes lo quiera que muchas personas a donde esta personas le carga ganar modos acabas .',cflancop y lo que da miedo es que muchas personas le devolvieron el tweet  .
44,"b'We knew Stevie Nicks was making a comeback , but how did she bring all of 1981 with her ?\n'","sabiamos stevie nicks estaba haciendo una reaparicion  ,  pero  ¿  como le traiga todos  con ella  ?","b'sabiamos bill natural la oportunidad , pero \xc2\xbf como off por viaje ?'","sabiamos que stevie nicks estaba haciendo una reaparicion  ,  pero  ¿  como le traiga todos  con ella  ?"
45,"b""On JT 's episode of , the SexyBack singer admitted his decision to leave the boy band that shot him to fame was one of the hardest decisions of his life .\n""",en el episodio de jt de la cantante sexyback admitio que su decision de dejar la banda de chicos que le lanzo a la fama fue una de las decisiones mas dificiles de su vida  .,"b'en el episodio de jt la cantante para mars , usted nos con su cantante country admitio que su decision que abuso a la cantante la cantante de dejar la banda de realizar la banda de a la fama de dejar a sexyback la super pelicula de la rueda de'",en el episodio de jt el cantante de sexyback admitio que su decision de dejar la banda de chicos que le lanzo a la fama fue una de las decisiones mas dificiles de su vida  .
46,b'My wife and daughter urged me to finish it .\n',mi esposa y mi hija me instaron para terminarlo  .,b'mi esposa y mi hija trabajo por este .',mi esposa y mi hija me instaron para que lo terminara de leer  .
47,"b'"" I have enjoyed seven seasons co-hosting DWTS but understand the need for change considering the position of the show at this juncture .\n'","he disfrutado de siete temporadas coanfitrion de la etap  ,  sino comprender la necesidad de un cambio teniendo en cuenta la posicion de la muestra en esta coyuntura  .","b'he disfrutado de siete temporadas zonas de la pelea de la twitter de la camara , sino leta , sino de la prostituta de un cambio teniendo a la posiciones su interesante de un cambio teniendo en cuenta la posicion .'","he disfrutado de siete temporadas como coanfitriona de la dancing with the stars  ,  pero comprendo la necesidad de un cambio teniendo en cuenta la posicion del programa en esta coyuntura  ."
48,b'Apple CEO Tim Cook .\n',"ceo de apple  ,  tim cook  .","b'el ceo de apple , tim cook .'","el ceo de apple  ,  tim cook  ."
49,"b'There \'s still that shift of people in emerging markets , although that will be a lower price point , so there \'s a unit uptick but impact on revenues . "" Why are PCs declining less than they were ?\n'","todavia hay ese cambio de las personas en los mercados emergentes  ,  a pesar de que sera un precio mas bajo  ,  asi que hay un repunte de unidad  ,  pero el impacto sobre los ingresos  .","b'todavia a pesar por las personas en los mercados emergentes , a gente sera un precio mas bajo , asi cual hay un repunte de unidad , pero la paga creen por los innovaciones .'","todavia hay ese cambio de las personas en los mercados emergentes  ,  a pesar de que sera un precio mas bajo  ,  asi que hay un repunte de unidad  ,  pero con impacto en los ingresos  ."
50,b'Contestant Whose Laugh Most Resembles An IRL Gchat Laugh\n',competidor cuyo laugh asemeje mas a un irl gchat laugh,b'el analisis de twitter el twitter el la aventura con twitter por twitter con su vistazo',el competidor con la risa que asemeje mas a una irl gchat risa
51,b'YOU WILL NEVER SLEEP AGAIN .\n',usted nunca dormir de nuevo  .,b'usted no dormir de nuevo yo .',usted nunca va a dormir de nuevo  .
52,"b'To all our service men and women that paid the ultimate sacrifice for our freedom and to their families ... Happy Memorial Day \xe2\x80\x94 bella thorne ( @ bellathorne ) May 26 , 2014 Happy Memorial Day Shout out to the troops , who sacrifice so much so we can sleep safely in our beds at night .\n'","a todos nuestros hombres y mujeres que pagaron el ultimo sacrificio por nuestra libertad de servicios y para sus familias  .  .  .   feliz dia de los caidos  bella thorne   bellathorne   de mayo  happy memorial day preguntad por las tropas  ,  que se sacrifican tanto para que podamos dormir de forma segura en la cama por la noche  .",b'a nuestro hombres y mujeres que pagaron a quienes el buen sentido por nuestra libertad de servicios y para sus familias . con tirolesa a una libertad de servicios y para sus familias . . . pies divertido muy infladas con nuestra distancia de servicios y para pagar por las',"a todos nuestros hombres y mujeres de las fuerzas armadas quien pagaron el sacrificio maximo por nuestra libertad y a sus familias  .  .  .  feliz dia de los caidos  bella thorn   bellathorne  mayo   ,   feliz dia de los caidos mando un saludo a las tropas  ,  quien sacrifica tanto para que podemos dormir seguros en nuestras camas por la noche"
53,"b""My child couldn' t have played either piece better , and the best part is that she knew it .\n""","mi hijo no podria haber jugado ya sea pieza mejor  ,  y la mejor parte es que ella lo sabia  .","b'envio natural no podria haber manera natural , y la mejor cuenta , y la mejor parte es que ella lo ocurre .'","mi hijo no podria haber tocado cualquiera pieza mejor  ,  y la mejor parte es que ella lo sabia  ."
54,b'Can this just become a weekly segment ?\n',¿  puede esto acaba de convertirse en un segmento semanal  ?,b'\xc2\xbf no natural seria famosa tambien a convertir en una utilizada semanal ?',¿  puede que esto se acaba de convertir en un segmento semanal  ?
55,"b""While a flood of new VCs came into existence during the late 90 's internet boom , many had difficulty raising new funds after the crashes of 2000-2001 and 2008 , and as a result significantly fewer fund managers exist now compared to a decade ago .\n""","mientras que una avalancha de nuevos capitalistas de riesgo llego a existir durante el boom de finales de los anos  del internet  ,  muchos de ellos tenian dificultades para recaudar nuevos fondos despues de la caida de  a  y   ,  y como resultado  ,  existen muchos menos los gestores de fondos ahora en comparacion con hace una decada  .","b'mientras que una avalancha de riesgo llego a existir por su integral de finales a finales de los s del internet , muchos con sus fondos a finales a finales a finales de los s del web , muchos de ellos tenian una division de las , ya , y'","mientras que una avalancha de nuevos capitalistas de riesgo llego a existir durante el boom del internet de finales de los   ,  muchos de ellos tuvieron dificultades para recaudar nuevos fondos despues de la caida de  a  y   ,  y como resultado  ,  existen muchos menos gestores de fondos ahora en comparacion con hace una decada  ."
56,"b'My father was a divorced bachelor , and I was an only child .\n'","mi padre era un soltero divorciado  ,  y yo era hijo unico  .","b'envio habia cuenta a envio sol eso era un soltero era piso , y yo era hijo unico .'",mi padre era un divorciado soltero y era lo unico hijo  .
57,b'Heroes Reborn Is Coming To A TV Near You In 2015 !\n',heroes reborn esta viniendo a un televisor cerca de usted en   !,b'heroes revelo que cuenta a una television con unos unos unas ella en twitter con con twitter con twitter .',heroes reborn estara en un televisor cerca tuyo en   !
58,"b""I was still going home to an apartment in Woodside , Queens where I didn' t have a closet and my shower didn' t work .\n""","yo estaba todavia a casa a un apartamento en woodside  ,  queens  ,  donde yo no tenia un armario y la ducha no funcionaba  .","b'yo era tengo a casa a casa a un apartamento en simplemente mal , senalando , asimismo , donde ya ya ya ya ya .'","yo estaba todavia indo a casa a un apartamento en woodside  ,  queens  ,  donde yo no tenia un armario y la ducha no funcionaba  ."
59,"b""And yeah , the decisions made by some of the powers that be were baffling and last minute and made it feel like the ship didn' t necessarily have a rudder .\n""","y si  ,  las decisiones tomadas por algunos de los poderes que fueron minutos desconcertante y ultimo y lo hizo sentir como la nave no necesariamente tiene un timon  .","b'y si , las decisiones tomadas por algunos de los poderes que fueron minutos de estas poderes que fueron minutos intentando ella .'","y si  ,  las decisiones tomadas por algunos de los poderes que fueron minutos desconcertantes y ultimo y lo hizo sentir como la nave no necesariamente tiene un timon  ."
60,b'The early bird model costs $ 69 for a black or white model with wide angle lens .\n',el modelo de inscripcion anticipada cuesta   para un modelo de color negro o blanco con lente gran angular  .,b'el modelo de adquisicion anticipada cuesta .',el modelo de adquisicion anticipada cuesta us   para un modelo de color negro o blanco con un lente angular amplio  .
61,"b'Included in the investors who disposed of their shares as part of the buy-back is incubator Team Europe , whom Beckers used to work for and , in part , took his inspiration .\n'","incluido en los inversores que desechan sus acciones como parte de la recompra es incubadora team europe  ,  quien beckers solia trabajar para y  ,  en parte  ,  se inspiro  .","b'incluida en cuenta por los inversionistas que los inversores que los gigantes como parte de la recompra es la recompra es la recompra es la recompra esta la recompra es la recompra , o aniversario .'","incluida en los inversionistas que desecharon sus acciones como parte de la recompra esta la incubadora team europe  ,  para quien beckers solia trabajar y  ,  en quien  ,  en parte  ,  se inspiro  ."
62,"b""It 's a total fucking metaphor .\n""",es un puto metafora  .,b'es una metafora natural .',es una metafora cojonuda  .
63,"b'"" Sorry to disappoint , but we won\' t be commenting on this one .\n'","siento decepcionarte  ,  pero no vamos a comentar en este caso  .","b'manera no natural , no simplemente simplemente a escuchar a donde esto .'","siento decepcionarles  ,  pero no vamos a comentar sobre esto  ."
64,"b'For everything else , there \'s Operation Payback . ""\n'","para todo lo demas  ,  hay operation payback   .","b'para todo lo natural , hay furor .'","para todo lo demas  ,  hay operation payback   ."
65,b'But we hope she goes back to doing films AND television !\n',pero esperamos que se remonta a hacer peliculas y la television  !,b'pero esperamos que se consejos a hacer ella y la que swifty a hacer peliculas y la camisa !',pero esperamos que vuelva a hacer peliculas y television  !
66,"b""23 Things That Only Happen When You 're Drunk\n""",cosas que solo suceden cuando le beben,b'cosas que solo para manera para este momento !',cosas que solo suceden cuando usted esta borracha
67,"b""In March , after Amber had spent a month at the London office , traveling for meetings in seven countries , she ' d arrived home on a Sunday , gone straight to work on Monday , and then , after leaving the office at five and arriving at Baxter 's , he proposed amid rose petals in his all-white living room before they went to meet her family for dinner at eight .\n""","en marzo  ,  despues de que amber habia pasado un mes en la oficina de londres  ,  viajando para reuniones en siete paises  ,  que habia llegado a casa un domingo  ,  habia ido directamente a trabajar el lunes  ,  y luego  ,  despues de salir de la oficina a las cinco y llegar a baxter  ,  propuso en medio de petalos de rosa en su sala totalmente blanca antes de ir a conocer a su familia para la cena a las ocho  .","b'en marzo , despues de que amber habia pasado un mes en la oficina de londres , encontraba la siesta , habia llegado a casa , tuviste la carne de londres , viajando para reuniones a una apariencia de londres , viajando para reuniones o , recomiendo , muy grandes'","en marzo  ,  despues de que amber habia pasado un mes en la oficina de londres  ,  viajando para reuniones en siete paises  ,  habia llegado a casa un domingo e ido directamente a trabajar el lunes  ,  y luego  ,  despues de salir de la oficina a las cinco y llegar a la casa de baxter  ,  el la pidio en matrimonio en medio de petalos de rosa en su sala totalmente blanca  ,  antes de fueran a encontrarse con la familia de ella para cenar a las ocho  ."
68,b'I am very flattered that you view me as someone qualified to give you this advice .\n',me siento muy halagado de que me ven como alguien calificado para darle este consejo  .,b'me manera muy chico de que me vean como alguien quienes simplemente desea para presentarse .',me siento muy halagado de que me vean como alguien calificado para dar este tipo de consejo  .
69,b'14 Lies That Rom-Coms Tell You\n',mentiras que romcoms tell you,b'mentiras que photo twitter',mentiras que romcoms te las dicen
70,b'So today the company began digging a grave for @ facebook.com email addresses .\n',asi que hoy la empresa comenzo a cavar una tumba direcciones de correo electronico for  facebook . com .,b'asi que la empresa comenzo a cavar una tumba infantil . com .',asi que hoy la empresa comenzo a cavar una tumba direcciones de correo electronico para el  facebook . com .
71,b'Alleged Sex Offender Terry Richardson Gets The Vogue Boot !\n',presunto delincuente sexual terry richardson gets the vogue boot  !,b'el trasero de twitter sexual al twitter de twitter !',el presunto abusador sexual terry richardson eliminado de vogue  !
72,"b'There are no plans for the couple to reconcile and Kris is only doing this to get attention . ""\n'",no hay planes para la pareja de conciliar y kris solo esta haciendo esto para llamar la atencion   .,b'no hay planes para su aventura de caer y kris solteros y miranda para llamar la atencion .',no hay planes para la pareja de reconciliarse y kris solo hizo esto para llamar la atencion   .
